id,language,category,slug,route,indexable,score,units,sourceCount,sourceHostCount,sectionCount,faqCount,verifiedAt,staleDays,generated,sourceFile,sourceHosts
chatgpt-vs-claude-en,en,ai-tools,chatgpt-vs-claude,/en/ai-tools/chatgpt-vs-claude/,false,100,717,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#chatgpt-vs-claude:en,openai.com|claude.com
chatgpt-vs-gemini-en,en,ai-tools,chatgpt-vs-gemini,/en/ai-tools/chatgpt-vs-gemini/,false,100,717,4,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#chatgpt-vs-gemini:en,openai.com|one.google.com|gemini.google.com
chatgpt-vs-microsoft-copilot-en,en,ai-tools,chatgpt-vs-microsoft-copilot,/en/ai-tools/chatgpt-vs-microsoft-copilot/,false,100,789,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#chatgpt-vs-microsoft-copilot:en,openai.com|microsoft.com
chatgpt-vs-perplexity-en,en,ai-tools,chatgpt-vs-perplexity,/en/ai-tools/chatgpt-vs-perplexity/,false,100,778,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#chatgpt-vs-perplexity:en,openai.com|perplexity.ai
claude-vs-gemini-en,en,ai-tools,claude-vs-gemini,/en/ai-tools/claude-vs-gemini/,false,100,726,4,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#claude-vs-gemini:en,claude.com|one.google.com|gemini.google.com
claude-vs-microsoft-copilot-en,en,ai-tools,claude-vs-microsoft-copilot,/en/ai-tools/claude-vs-microsoft-copilot/,false,100,801,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#claude-vs-microsoft-copilot:en,claude.com|microsoft.com
claude-vs-perplexity-en,en,ai-tools,claude-vs-perplexity,/en/ai-tools/claude-vs-perplexity/,false,100,785,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#claude-vs-perplexity:en,claude.com|perplexity.ai
fathom-review-en,en,ai-tools,fathom-review,/en/ai-tools/fathom-review/,false,100,769,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#fathom-review:en,fathom.ai
fathom-vs-tldv-en,en,ai-tools,fathom-vs-tldv,/en/ai-tools/fathom-vs-tldv/,false,100,785,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#fathom-vs-tldv:en,fathom.ai|tldv.io
fireflies-review-en,en,ai-tools,fireflies-review,/en/ai-tools/fireflies-review/,false,100,745,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#fireflies-review:en,fireflies.ai
fireflies-vs-fathom-en,en,ai-tools,fireflies-vs-fathom,/en/ai-tools/fireflies-vs-fathom/,false,100,800,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#fireflies-vs-fathom:en,fireflies.ai|fathom.ai
fireflies-vs-tldv-en,en,ai-tools,fireflies-vs-tldv,/en/ai-tools/fireflies-vs-tldv/,false,100,762,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#fireflies-vs-tldv:en,fireflies.ai|tldv.io
gemini-vs-microsoft-copilot-en,en,ai-tools,gemini-vs-microsoft-copilot,/en/ai-tools/gemini-vs-microsoft-copilot/,false,100,780,4,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#gemini-vs-microsoft-copilot:en,one.google.com|gemini.google.com|microsoft.com
microsoft-copilot-review-en,en,ai-tools,microsoft-copilot-review,/en/ai-tools/microsoft-copilot-review/,false,100,764,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#microsoft-copilot-review:en,microsoft.com
otter-review-en,en,ai-tools,otter-review,/en/ai-tools/otter-review/,false,100,698,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#otter-review:en,otter.ai
otter-vs-fathom-en,en,ai-tools,otter-vs-fathom,/en/ai-tools/otter-vs-fathom/,false,100,772,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#otter-vs-fathom:en,otter.ai|fathom.ai
otter-vs-fireflies-en,en,ai-tools,otter-vs-fireflies,/en/ai-tools/otter-vs-fireflies/,false,100,681,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#otter-vs-fireflies:en,otter.ai|fireflies.ai
otter-vs-tldv-en,en,ai-tools,otter-vs-tldv,/en/ai-tools/otter-vs-tldv/,false,100,739,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#otter-vs-tldv:en,otter.ai|tldv.io
perplexity-review-en,en,ai-tools,perplexity-review,/en/ai-tools/perplexity-review/,false,100,763,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#perplexity-review:en,perplexity.ai
perplexity-vs-gemini-en,en,ai-tools,perplexity-vs-gemini,/en/ai-tools/perplexity-vs-gemini/,false,100,793,4,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#perplexity-vs-gemini:en,perplexity.ai|one.google.com|gemini.google.com
perplexity-vs-microsoft-copilot-en,en,ai-tools,perplexity-vs-microsoft-copilot,/en/ai-tools/perplexity-vs-microsoft-copilot/,false,100,824,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#perplexity-vs-microsoft-copilot:en,perplexity.ai|microsoft.com
tldv-review-en,en,ai-tools,tldv-review,/en/ai-tools/tldv-review/,false,100,744,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#tldv-review:en,tldv.io
airtable-review-en,en,business-software,airtable-review,/en/business-software/airtable-review/,false,100,750,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#airtable-review:en,airtable.com
airtable-vs-asana-en,en,business-software,airtable-vs-asana,/en/business-software/airtable-vs-asana/,false,100,756,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#airtable-vs-asana:en,airtable.com|asana.com
airtable-vs-basecamp-en,en,business-software,airtable-vs-basecamp,/en/business-software/airtable-vs-basecamp/,false,100,789,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#airtable-vs-basecamp:en,airtable.com|basecamp.com
airtable-vs-monday-en,en,business-software,airtable-vs-monday,/en/business-software/airtable-vs-monday/,false,100,738,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#airtable-vs-monday:en,airtable.com|monday.com
airtable-vs-notion-en,en,business-software,airtable-vs-notion,/en/business-software/airtable-vs-notion/,false,100,746,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#airtable-vs-notion:en,airtable.com|notion.com
asana-guide-en,en,business-software,asana-guide,/en/business-software/asana-guide/,true,85,414,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#asana-guide:en,asana.com|help.asana.com
asana-vs-basecamp-en,en,business-software,asana-vs-basecamp,/en/business-software/asana-vs-basecamp/,false,100,742,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#asana-vs-basecamp:en,asana.com|basecamp.com
asana-vs-monday-en,en,business-software,asana-vs-monday,/en/business-software/asana-vs-monday/,false,100,685,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#asana-vs-monday:en,asana.com|monday.com
basecamp-review-en,en,business-software,basecamp-review,/en/business-software/basecamp-review/,false,100,739,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-review-expansion.json#basecamp-review:en,basecamp.com
basecamp-vs-monday-en,en,business-software,basecamp-vs-monday,/en/business-software/basecamp-vs-monday/,false,100,722,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#basecamp-vs-monday:en,basecamp.com|monday.com
basecamp-vs-trello-en,en,business-software,basecamp-vs-trello,/en/business-software/basecamp-vs-trello/,false,100,726,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-2.json#basecamp-vs-trello:en,basecamp.com|trello.com
business-chat-tools-comparison-en,en,business-software,business-chat-tools-comparison,/en/business-software/business-chat-tools-comparison/,true,85,461,5,5,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#business-chat-tools-comparison:en,slack.com|workspace.google.com|go.chatwork.com|line-works.com|microsoft.com
clickup-alternatives-en,en,business-software,clickup-alternatives,/en/business-software/clickup-alternatives/,true,100,886,8,4,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#clickup-alternatives:en,clickup.com|monday.com|asana.com|notion.com
clickup-for-small-business-en,en,business-software,clickup-for-small-business,/en/business-software/clickup-for-small-business/,true,100,871,6,3,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#clickup-for-small-business:en,clickup.com|monday.com|asana.com
clickup-pricing-guide-en,en,business-software,clickup-pricing-guide,/en/business-software/clickup-pricing-guide/,true,100,817,2,1,6,3,2026-07-19,-1,true,content/article-batches/bilingual-affiliate-intents.json#clickup-pricing-guide:en,clickup.com
clickup-vs-airtable-en,en,business-software,clickup-vs-airtable,/en/business-software/clickup-vs-airtable/,false,100,753,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#clickup-vs-airtable:en,clickup.com|airtable.com
clickup-vs-asana-en,en,business-software,clickup-vs-asana,/en/business-software/clickup-vs-asana/,false,85,464,3,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#clickup-vs-asana:en,clickup.com|asana.com
clickup-vs-basecamp-en,en,business-software,clickup-vs-basecamp,/en/business-software/clickup-vs-basecamp/,false,100,747,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#clickup-vs-basecamp:en,clickup.com|basecamp.com
clickup-vs-monday-en,en,business-software,clickup-vs-monday,/en/business-software/clickup-vs-monday/,true,100,630,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparisons.json#clickup-vs-monday:en,clickup.com|monday.com
clickup-vs-todoist-en,en,business-software,clickup-vs-todoist,/en/business-software/clickup-vs-todoist/,false,100,759,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion-3.json#clickup-vs-todoist:en,clickup.com|todoist.com
clickup-vs-trello-en,en,business-software,clickup-vs-trello,/en/business-software/clickup-vs-trello/,false,100,672,4,2,6,3,2026-07-19,-1,true,content/article-batches/bilingual-comparison-expansion.json#clickup-vs-trello:en,clickup.com|trello.com
custom-domain-email-guide-en,en,business-software,custom-domain-email-guide,/en/business-software/custom-domain-email-guide/,true,85,427,2,2,6,2,2026-07-19,-1,true,content/article-batches/english-translations.json#custom-domain-email-guide:en,workspace.google.com|support.google.com
