article_id,language,type,category,priority,configured_placements,total_placements,affiliate_keys,url,title
xserver-for-wordpress-review-ja,ja,review,hosting-security,83,6,6,xserver-wp-sla|xserver-wp-domain|xserver-wp-setup|xserver-wp-expert|xserver-wp-long|xserver-wp,/ja/hosting-security/xserver-for-wordpress-review/,"XServer for WordPressレビュー｜法人向け料金・機能・注意点"
xserver-shop-review-ja,ja,review,website-builders,83,5,5,xserver-shop|xserver-shop-fee|xserver-shop-trial|xserver-shop-cost,/ja/website-builders/xserver-shop-review/,"XServerショップレビュー｜料金・手数料・EC-CUBEの注意点"
goope-review-ja,ja,review,website-builders,83,5,5,goope-price|goope|goope-reservation|goope-store,/ja/website-builders/goope-review/,"グーペの料金・機能・注意点｜店舗向けホームページ作成を検証"
iclusta-review-ja,ja,review,hosting-security,83,4,4,iclusta-corporate|iclusta-sla|iclusta-wordpress|iclusta,/ja/hosting-security/iclusta-review/,"iCLUSTA+ byGMOレビュー｜法人向け機能・料金・注意点【2026年】"
emeao-pos-review-ja,ja,review,store-dx,83,3,3,emeao-pos-fit|emeao-pos-quality,/ja/store-dx/emeao-pos-review/,"EMEAO!の評判・仕組み・注意点｜POSレジ業者を無料比較する方法"
jetboy-review-ja,ja,review,hosting-security,83,3,3,jetboy-long|jetboy-wp-tuned,/ja/hosting-security/jetboy-review/,"JETBOYレビュー｜料金・LiteSpeed・注意点【2026年】"
jimdo-review-ja,ja,review,website-builders,83,3,3,jimdo-short|jimdo-software,/ja/website-builders/jimdo-review/,"Jimdoの評判・料金・注意点｜AIビルダーとCreatorを検証"
ochanoko-saisai-review-ja,ja,review,website-builders,83,3,3,ochanoko-saisai-short|ochanoko-saisai-service,/ja/website-builders/ochanoko-saisai-review/,"おちゃのこさいさいの評判・料金・注意点｜店舗サイト向け機能を検証"
funfo-review-ja,ja,review,store-dx,83,2,2,funfo-short,/ja/store-dx/funfo-review/,"funfoの評判・料金・機能を検証｜無料POSレジとモバイルオーダーの注意点"
kantan-chumon-review-ja,ja,review,store-dx,83,2,2,kantan-chumon-short,/ja/store-dx/kantan-chumon-review/,"かんたん注文の評判・機能・注意点｜飲食店向けPOSを公式情報で検証"
shin-rental-server-pros-cons-ja,ja,review,hosting-security,83,2,2,shin-server-newgen,/ja/hosting-security/shin-rental-server-pros-cons/,"シンレンタルサーバーのメリット・デメリット｜契約前の確認事項"
shin-rental-server-review-ja,ja,review,hosting-security,83,2,2,shin-server-long,/ja/hosting-security/shin-rental-server-review/,"シンレンタルサーバーレビュー｜料金・速度・注意点【2026年】"
restaurant-pos-three-way-comparison-ja,ja,comparison,store-dx,78,4,4,emeao-pos-free|funfo-short|kantan-chumon-short,/ja/store-dx/restaurant-pos-three-way-comparison/,"funfo・かんたん注文・EMEAO!を比較｜飲食店POSの探し方"
funfo-vs-kantan-chumon-ja,ja,comparison,store-dx,78,4,4,funfo-bracket|kantan-chumon-short|emeao-pos-free,/ja/store-dx/funfo-vs-kantan-chumon/,"funfoとかんたん注文を比較｜無料POSと公開料金型POS・モバイルオーダーを検証"
xserver-shop-vs-shopify-ja,ja,comparison,website-builders,78,4,4,xserver-shop-fee|xserver-shop-trial|xserver-shop,/ja/website-builders/xserver-shop-vs-shopify/,"XServerショップとShopifyを比較｜料金・手数料・運用の違い"
goope-vs-wix-ja,ja,comparison,website-builders,78,4,4,goope-price|goope-reservation|goope-store|goope-short,/ja/website-builders/goope-vs-wix/,"グーペとWixを比較｜店舗ホームページはどちらが向く？"
store-website-builder-comparison-ja,ja,comparison,website-builders,78,4,4,goope-reservation|goope-price|goope-store,/ja/website-builders/store-website-builder-comparison/,"店舗向けホームページ作成サービス比較｜おちゃのこさいさい・グーペなど5選"
